dataset,nodes,edges,source,target,tau,tau_mode,baseline_cost,baseline_prob,baseline_nodes_explored,baseline_edges_examined,baseline_edges_relaxed,baseline_ms,pruned_cost,pruned_prob,pruned_nodes_explored,pruned_edges_examined,pruned_edges_relaxed,pruned_ms,path_found,speedup,optimality_gap_pct
RetailRocket-event,3,9,view,addtocart,0.036628603557,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.22,0.0
RetailRocket-event,3,9,view,addtocart,0.038663525977,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.27,0.0
RetailRocket-event,3,9,view,addtocart,0.040291463913,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.22,0.0
RetailRocket-event,3,9,view,addtocart,0.040698448397,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.22,0.0
RetailRocket-event,3,9,view,addtocart,0.044768293237,adaptive,3.201565,0.0406984484,2,3,3,0.003,,,1,3,1,0.002,False,1.43,
RetailRocket-event,3,9,addtocart,view,0.0001,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,1.0,0.0
RetailRocket-event,3,9,addtocart,view,0.001,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,0.91,0.0
RetailRocket-event,3,9,addtocart,view,0.01,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,0.94,0.0
RetailRocket-event,3,9,addtocart,view,0.1,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,0.97,0.0
RetailRocket-event,3,9,addtocart,view,0.5,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.003,True,1.15,0.0
RetailRocket-event,3,9,addtocart,view,0.056519773603,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.004,True,0.86,0.0
RetailRocket-event,3,9,addtocart,view,0.169559320808,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,0.97,0.0
RetailRocket-event,3,9,addtocart,view,0.282598868013,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.003,True,1.15,0.0
